image_id,attack_type,original_pred,perturbed_pred,success
adv_centroid_pitbull_f00f22ec4c 2,centroid,1,1,False
adv_noise_pitbull_f00f22ec4c 2,noise,1,1,False
adv_boundary_pitbull_f00f22ec4c 2,boundary,1,0,True
adv_rotation_pitbull_f00f22ec4c 2,rotation,1,1,False
adv_patch_pitbull_f00f22ec4c 2,patch,1,1,False
adv_color_pitbull_f00f22ec4c 2,color,1,1,False
adv_combined_pitbull_f00f22ec4c 2,combined,1,1,False
adv_centroid_irminsul_c09ee27cda,centroid,1,1,False
adv_noise_irminsul_c09ee27cda,noise,1,1,False
adv_boundary_irminsul_c09ee27cda,boundary,1,0,True
adv_rotation_irminsul_c09ee27cda,rotation,1,1,False
adv_patch_irminsul_c09ee27cda,patch,1,1,False
adv_color_irminsul_c09ee27cda,color,1,1,False
adv_combined_irminsul_c09ee27cda,combined,1,1,False
adv_centroid_lorraine_a8a8c14bac 3,centroid,1,1,False
adv_noise_lorraine_a8a8c14bac 3,noise,1,1,False
adv_boundary_lorraine_a8a8c14bac 3,boundary,1,0,True
adv_rotation_lorraine_a8a8c14bac 3,rotation,1,1,False
adv_patch_lorraine_a8a8c14bac 3,patch,1,1,False
adv_color_lorraine_a8a8c14bac 3,color,1,1,False
adv_combined_lorraine_a8a8c14bac 3,combined,1,1,False
adv_centroid_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,centroid,0,0,False
adv_noise_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,noise,0,0,False
adv_boundary_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,boundary,0,1,True
adv_rotation_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,rotation,0,0,False
adv_patch_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,patch,0,0,False
adv_color_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,color,0,0,False
adv_combined_JzwDeh51bRgPtC_1o2GqknkMwZN0KSXKXCC4mhKmQ94,combined,0,0,False
adv_centroid_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,centroid,1,1,False
adv_noise_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,noise,1,1,False
adv_boundary_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,boundary,1,0,True
adv_rotation_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,rotation,1,1,False
adv_patch_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,patch,1,1,False
adv_color_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,color,1,1,False
adv_combined_PKUYkE7dtbMpvbrDdL4hlr0KMb4mNOlTjSmP0qD7aTg,combined,1,1,False
adv_centroid_eNXXzefTPPsqbDU_0jz0hwpPCSuDL5aHwj6kGyXIIzg,centroid,0,0,False
